address,number,open,available,free,total,ticket,updated_at,geo_shape,geo_point_2d,update_jcd
Tres Cruces - Segunda República Española,249,T,1,14,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4027404883331656, 39.459506295875165], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4027404883331656, 'lat': 39.459506295875165}",2025-06-14T12:00:01+00:00
Plaza Músico Espí,234,T,12,3,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3736443597891149, 39.49649940567526], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3736443597891149, 'lat': 39.49649940567526}",2025-06-14T11:53:34+00:00
"Plaza Salvador Soria, 8",257,T,10,10,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.38910445245389036, 39.44525124234686], 'type': 'Point'}, 'properties': {}}","{'lon': -0.38910445245389036, 'lat': 39.44525124234686}",2025-06-14T11:54:04+00:00
Beniferri - Vicent Tomás Martí,267,T,15,0,16,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4059294716064297, 39.49416841275147], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4059294716064297, 'lat': 39.49416841275147}",2025-06-14T11:54:52+00:00
Salvador Cerveró - Carlos Cortina,271,T,6,9,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.38989141267304944, 39.49927942267903], 'type': 'Point'}, 'properties': {}}","{'lon': -0.38989141267304944, 'lat': 39.49927942267903}",2025-06-14T11:58:51+00:00
Moraira - Alta del Mar,273,T,9,6,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3332722584595297, 39.450305232524904], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3332722584595297, 'lat': 39.450305232524904}",2025-06-14T12:00:30+00:00
José Meliá Castelló - Campos Crespo,253,T,9,6,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4011014879360589, 39.45272627278094], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4011014879360589, 'lat': 39.45272627278094}",2025-06-14T12:01:10+00:00
Tomas de Villarroya - San Vicente,255,T,16,1,18,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.38602944085901075, 39.447703249066144], 'type': 'Point'}, 'properties': {}}","{'lon': -0.38602944085901075, 'lat': 39.447703249066144}",2025-06-14T11:52:00+00:00
"Giorgeta, 64",207,T,8,7,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.381905420300487, 39.45539327294658], 'type': 'Point'}, 'properties': {}}","{'lon': -0.381905420300487, 'lat': 39.45539327294658}",2025-06-14T11:55:09+00:00
Pintor Rafael Solves - Jose Soto Mico,258,T,10,5,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3891374575312111, 39.43982822413676], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3891374575312111, 'lat': 39.43982822413676}",2025-06-14T11:55:03+00:00
Traginers - Pedrapiquers,260,T,15,5,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4072175039832668, 39.45955629873093], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4072175039832668, 'lat': 39.45955629873093}",2025-06-14T12:01:28+00:00
Tres Forques - Colonia Española de Mexico,262,T,4,16,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.40922550688289966, 39.463472312903384], 'type': 'Point'}, 'properties': {}}","{'lon': -0.40922550688289966, 'lat': 39.463472312903384}",2025-06-14T11:59:03+00:00
Fray Juanípero Serra - Torrente,212,T,9,6,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.40039647823746194, 39.46148430130945], 'type': 'Point'}, 'properties': {}}","{'lon': -0.40039647823746194, 'lat': 39.46148430130945}",2025-06-14T11:59:36+00:00
"Santa Cruz de Tenerife, 21",214,T,3,12,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4005764763988502, 39.464932313028335], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4005764763988502, 'lat': 39.464932313028335}",2025-06-14T12:01:04+00:00
Maestro Rodrigo - Manuel de Falla,222,T,3,17,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39728245609920837, 39.47689335174765], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39728245609920837, 'lat': 39.47689335174765}",2025-06-14T12:00:22+00:00
Jorge Comin (Metge) - Terrateig,224,T,0,20,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.40358847435527895, 39.480568366964896], 'type': 'Point'}, 'properties': {}}","{'lon': -0.40358847435527895, 'lat': 39.480568366964896}",2025-06-14T11:51:51+00:00
Poeta Serrano Clavero - General Llorens,230,T,8,7,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.38678440634001116, 39.49475040560395], 'type': 'Point'}, 'properties': {}}","{'lon': -0.38678440634001116, 'lat': 39.49475040560395}",2025-06-14T11:57:03+00:00
San Jose Artesano - Francisco Morote Greus,238,T,1,14,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39438342966293366, 39.497449418355934], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39438342966293366, 'lat': 39.497449418355934}",2025-06-14T11:55:46+00:00
